,uuid,x,y,content,size,color
0,de111caa-3a25-ccda-d991-3ed722acba6a,672.3496492004397,-11.003722305297742,CIRCLE,22,#000000
1,438f522e-2636-4fe9-840a-4453ecd1534e,659.1507852172854,-587.9837223052982,STALLS,22,#000000
2,da8465fb-6c6a-8ed4-edd6-45e721443ebe,68.67493368148826,-82.28514280319223,X,14,#000000
3,a852ac9d-07a8-6e33-f2b3-5dd047cd72d0,68.61385370254538,-102.28514280319224,W,14,#000000
4,0b25da8b-1bc1-d96d-5b44-93c156a73f91,68.44908119201682,-204.28514280319223,Q,14,#000000
5,f71ced80-7c32-a2af-6224-d497de286ac4,68.06845619201658,-124.28514280319224,U,14,#000000
6,55be6c84-560f-0182-86c7-cb7d071d6a20,68.28430868148826,-144.28514280319223,T,14,#000000
7,d2e8c101-9e75-573a-5314-08d95581a46b,68.67493368148826,-164.28514280319223,S,14,#000000
8,e9903d33-94b2-553b-605c-ed5409ba6403,68.06845619201658,-184.28514280319223,R,14,#000000
9,b2e77fc6-de02-3ab6-fa12-e9af825faa52,259.67493368148826,-83.28514280319223,X,14,#000000
10,2df427db-53e8-f95d-495a-26fc69769308,259.6138537025454,-103.28514280319224,W,14,#000000
11,8115290d-fad2-9f36-dd73-e762170ca148,259.0584561920168,-125.28514280319224,U,14,#000000
12,4ae08b98-6ae6-ca57-97b2-7a2b58cbc31f,259.27430868148804,-145.28514280319223,T,14,#000000
13,8a5eed39-d276-f760-fcea-edb0985e7c83,259.67493368148826,-165.28514280319223,S,14,#000000
14,e5719271-aeb7-ea6b-2157-909def03ee39,259.0584561920168,-185.28514280319223,R,14,#000000
15,20e5008f-517f-410d-27d9-0c0d6cb387cb,259.4490811920168,-205.28514280319223,Q,14,#000000
16,91849e26-1bf5-ca32-40db-d4e245af9ad2,259.67493368148826,-63.28514280319223,Y,14,#000000
17,7898fac5-fd34-6bf6-14fe-8d1ca1a5ca99,564.6749336814883,-64.28514280319223,Y,14,#000000
18,224108a8-4975-f9d0-cfaa-1d9bb4d9fbf1,801.6749336814883,-65.28514280319223,Y,14,#000000
19,83f5f503-78ad-919a-5552-3887a11b73c4,564.6749336814883,-84.28514280319223,X,14,#000000
20,0addcd84-e13e-dc3a-ecc4-b087d5bb9019,801.6749336814883,-85.28514280319223,X,14,#000000
21,b39fa73b-9391-b958-ad34-1227d67c2897,564.6749336814883,-166.28514280319223,S,14,#000000
22,8f3e6f46-4d7f-f6bb-fc6f-1f464c3fc591,801.6749336814883,-167.28514280319223,S,14,#000000
23,8844b5ba-75e0-ed32-59ec-0391b3e0ed87,564.6138537025454,-104.28514280319224,W,14,#000000
24,d852d2b5-3f23-d2a7-98e2-e574d02dbe39,801.6138537025454,-105.28514280319224,W,14,#000000
25,e19f323c-1d8b-d3b9-d852-42ecfabc5baf,564.0584561920168,-126.28514280319224,U,14,#000000
26,9922bf12-628c-1a2a-fb42-cec84f8c5e44,801.0584561920168,-127.28514280319224,U,14,#000000
27,31334aa1-9051-c5dd-7480-be792fb77ddc,564.274308681488,-146.28514280319223,T,14,#000000
28,84754b47-81d0-a9fe-b481-dce755723631,801.274308681488,-147.28514280319223,T,14,#000000
29,4894b772-f32a-69cb-0ec6-24be3c0e57cd,564.6749336814883,-226.28514280319223,P,14,#000000
30,8e8725bf-5d3e-53f0-ec84-80670d67d44a,801.6749336814883,-227.28514280319223,P,14,#000000
31,6a0510e1-28bf-c97d-811f-70e8b86afee8,564.0584561920168,-186.28514280319223,R,14,#000000
32,4ba2095c-4164-e9f0-68e0-17ffdf17ed69,801.0584561920168,-187.28514280319223,R,14,#000000
33,720c60aa-9789-4168-a514-019edde203af,564.4490811920168,-206.28514280319223,Q,14,#000000
34,1ff799f1-b397-0041-ab7c-c1dce5ce0759,801.4490811920168,-207.28514280319223,Q,14,#000000
35,74a64981-f64f-d6b1-6358-8430ad8ad70b,259.67493368148826,-225.28514280319223,P,14,#000000
36,b656c4e7-e208-3115-764d-4a766397f18c,68.67493368148826,-224.28514280319223,P,14,#000000
37,fb733000-a7de-2c78-e712-125c0f56a546,1105.6749336814885,-64.28514280319223,Y,14,#000000
38,32e0a1f6-37d4-6268-9aa4-ebcdb2e38983,1105.6749336814885,-84.28514280319223,X,14,#000000
39,ddd17e5e-6593-d315-c745-641a615d3cae,1105.6138537025454,-104.28514280319224,W,14,#000000
40,77296921-9294-fdb5-8334-d824d7c0f6ba,1105.068456192017,-186.28514280319223,R,14,#000000
41,5ac93b86-58c6-a858-79e4-cdcddb740a6a,1105.068456192017,-126.28514280319224,U,14,#000000
42,4fb3cd71-5abb-7fae-affa-a498f4f13eb3,1105.2843086814885,-146.28514280319223,T,14,#000000
43,edbe7ce5-5fd0-6ef2-28dd-91fdc3dce45c,1105.6749336814885,-166.28514280319223,S,14,#000000
44,26243a88-7b6b-24e4-e1fa-3a95c5db8b25,1105.4490811920168,-206.28514280319223,Q,14,#000000
45,9d87ffbd-b9e4-2fd5-f72c-de775043ae47,1105.6749336814885,-226.28514280319223,P,14,#000000
46,b63ab71e-03c1-5a23-a239-eb30f98bd177,1281.6749336814885,-84.28514280319223,X,14,#000000
47,e4d67539-9f82-44ff-0a95-9e4d93e2c48c,1281.6138537025454,-104.28514280319224,W,14,#000000
48,5da9df9e-c27e-2fc7-becb-f9ffb48754e0,1281.068456192017,-126.28514280319224,U,14,#000000
49,d580dfd0-b0de-2d5a-b53e-662b6fa056b3,1281.2843086814885,-146.28514280319223,T,14,#000000
50,4f1292a9-508b-fe60-9f69-94ad7a5ee699,1281.6749336814885,-166.28514280319223,S,14,#000000
51,742d2bcb-d2b7-9ca4-35ae-fbc00f6a1c44,1281.068456192017,-186.28514280319223,R,14,#000000
52,64eb79ae-9ad1-6bee-600e-4a5f52a5cc3f,1281.4490811920168,-206.28514280319223,Q,14,#000000
53,ba73ba4f-2b64-0749-2d26-c0bf7a5f1842,1281.6749336814885,-226.28514280319223,P,14,#000000
54,0c383235-ec78-4e54-4596-3e15a08a0618,75.44908119201682,-268.28514280319223,O,14,#000000
55,a72c7b28-56d5-412c-8a92-0afd14c3b7ae,75.06845619201658,-288.28514280319223,N,14,#000000
56,eb809fc4-e389-083f-019a-23535dffe042,75.83970619201682,-308.28514280319223,M,14,#000000
57,96d543ac-2e93-a4ca-ab68-058d00b5caf7,73.90078569412253,-328.28514280319223,L,14,#000000
58,1c7b7d78-8ca7-6560-44a4-706520555102,520.0584561920168,-282.28514280319223,N,14,#000000
59,b6724d8c-0d06-6795-d562-2bd662e66738,519.8297061920166,-302.28514280319223,M,14,#000000
60,5da2ebfc-21e1-c3fa-e554-f61dc7737b0b,519.9007856941225,-322.28514280319223,L,14,#000000
61,df1216ce-8d73-f7e2-90de-96616b8117ac,169.67493368148826,-343.28514280319223,K,14,#000000
62,d3a51785-10e8-ebf7-66e2-ff048dd00048,519.6749336814883,-342.28514280319223,K,14,#000000
63,4b67669a-ddd6-2123-3e8a-ce71ef5cc040,170.50305844306968,-363.2851428031922,J,14,#000000
64,4bbc2ea4-6efe-d3be-aad2-99b4a05001bb,519.5030584430697,-362.2851428031922,J,14,#000000
65,545a7d88-2aa3-e950-aa02-293f7fccee8b,170.05845619201682,-387.2851428031918,H,14,#000000
66,4d6869b7-bddd-a45f-5ec7-b68eb202aafa,520.0584561920168,-382.2851428031918,H,14,#000000
67,bc589670-6f33-bf12-94f7-54850188f8ce,170.44908119201682,-407.2851428031918,G,14,#000000
68,194477f1-4570-f01e-bf9b-30f4d81a9b69,846.4490811920168,-261.28514280319223,O,14,#000000
69,388cbe3b-8eec-51c8-a9ee-032e8793f45e,846.4490811920168,-401.2851428031918,G,14,#000000
70,5d3fff05-fc99-6ca8-3b74-1b46ae1bfdcc,846.0584561920168,-281.28514280319223,N,14,#000000
71,a9d471ab-3acf-1e32-d98f-29552e8ad9fb,845.8297061920166,-301.28514280319223,M,14,#000000
72,8b2b72c9-a38e-6d20-3fc2-9d991c575f98,845.9007856941225,-321.28514280319223,L,14,#000000
73,61b7fd16-fbab-d06c-5298-024e1902c256,845.6749336814883,-341.28514280319223,K,14,#000000
74,9d1fde70-0a9a-fd7e-3ee2-dcdc06debed4,845.5030584430697,-361.2851428031922,J,14,#000000
75,616c053d-6f34-b43c-e674-ea1df5ec2ae5,846.0584561920168,-381.2851428031918,H,14,#000000
76,d9c08585-bfc6-9847-37c7-a125a42b4c18,1193.5030584430697,-363.2851428031922,J,14,#000000
77,74e81dfc-cbd0-c14b-05fc-466637ad8bab,1193.6749336814885,-343.28514280319223,K,14,#000000
78,bac825c5-9330-3034-29af-1a6921d15599,1194.068456192017,-383.2851428031918,H,14,#000000
79,4d7b9004-08b9-e9ea-7ef7-a5466d16cb69,1194.4490811920168,-403.2851428031918,G,14,#000000
80,eab88ff6-a4d6-6585-f220-b3679b55bb66,1283.4490811920168,-262.28514280319223,O,14,#000000
81,4c095be9-9944-ce93-36d3-4a9471d7d4fb,1282.8397061920168,-302.28514280319223,M,14,#000000
82,66653d99-b030-f1e0-c960-69d6a1d3d5f5,1283.068456192017,-282.28514280319223,N,14,#000000
83,7fd5546c-5908-4782-7e8b-6337b1b836e6,1282.9007856941223,-322.28514280319223,L,14,#000000
84,974caab9-cd27-0cb2-9041-2cd5b83632ff,109.05845619201682,-479.2851428031918,D,14,#000000
85,531411ba-dc69-643a-494f-e172d2e04d93,331.0584561920168,-478.2851428031918,D,14,#000000
86,efc23ba2-6599-6eda-2470-e246ebb42802,109.05845619201682,-498.2851428031918,C,14,#000000
87,83b18a83-ddad-dc6e-cb2d-922b73676181,331.0584561920168,-498.2851428031918,C,14,#000000
88,d222fa7c-4fed-9324-073a-47aa634f7be3,108.67493368148826,-518.2851428031918,B,14,#000000
89,f7b79459-6e0c-31d4-f98c-19e599271b20,330.67493368148826,-518.2851428031918,B,14,#000000
90,f267e8c8-2039-ef2b-12bf-4e5477d7ae79,109.16493368148804,-459.13514280319214,E,14,#000000
91,737182e9-ccfd-e1f0-2249-ffe312843790,330.67493368148826,-458.2851428031918,E,14,#000000
92,7811d506-c0ed-cd43-df74-ff6f9e2056f2,108.67493368148826,-538.2851428031918,A,14,#000000
93,d20cc14f-446f-1b6a-b8a8-da1ac64d5a52,330.67493368148826,-538.2851428031918,A,14,#000000
94,fed6a75c-abb1-2f83-ce93-9384e78d4b09,669.274308681488,-438.2851428031918,F,14,#000000
95,4f562fa4-a7af-3927-dbd1-e9bc21337b72,668.6749336814883,-538.2851428031918,A,14,#000000
96,fba80b6a-68d1-1442-b3ce-afa89df7b398,668.6749336814883,-458.2851428031918,E,14,#000000
97,0df2b8ae-dc18-6a95-f4d0-88acb5666de6,669.0584561920168,-478.2851428031918,D,14,#000000
98,70392764-58fa-7ded-b9af-bdde84e24511,669.0584561920168,-498.2851428031918,C,14,#000000
99,057b809b-009a-c236-97da-2018cfa3ba27,668.6749336814883,-518.2851428031918,B,14,#000000
100,4f290056-15ce-3fd3-0900-d75078aee2e6,1011.2843086814884,-435.2851428031918,F,14,#000000
101,e0813162-9098-5eb0-aae2-8142ac3f382c,1010.6749336814884,-535.2851428031918,A,14,#000000
102,2504bb72-36cb-7fd3-ebc6-6ecb6fe04550,1010.6749336814884,-455.2851428031918,E,14,#000000
103,aa231374-7d3d-0940-e2dc-a36ecef7ce1f,1011.068456192017,-475.2851428031918,D,14,#000000
104,1d3a1b8d-6ab2-1820-2ea4-8064d5ca033b,1011.068456192017,-495.2851428031918,C,14,#000000
105,149f94e5-bb2e-f3e0-e6e0-d84b1c10c218,1010.6749336814884,-515.2851428031918,B,14,#000000
106,a993fa86-ac0e-a1a0-6ec5-60f9d18ef141,1234.068456192017,-475.2851428031918,D,14,#000000
107,e5efb94d-c95f-d8f5-8bd2-d92367b782be,1234.068456192017,-495.2851428031918,C,14,#000000
108,cc96d60d-eccf-590d-c50c-5538d7ccb935,1233.6749336814885,-515.2851428031918,B,14,#000000
109,ed958eed-911d-d00b-bf81-a1a111ab990b,1233.6749336814885,-535.2851428031918,A,14,#000000
110,16108d88-e6d9-2514-3a3a-e4a1088ca55c,1234.164933681488,-456.13514280319214,E,14,#000000
111,463d7483-6be7-15cc-7d6e-f0b3c7b50d99,71.54987621307373,-693.2851428031918,ZF,14,#000000
112,8ebeceae-fe3a-6d11-8774-95a87cd24393,70.67493368148826,-833.2851428031918,Y,14,#000000
113,45ae87e5-5235-2ebd-4375-efedbd36b52d,70.95050121307395,-713.2851428031918,ZE,14,#000000
114,de5f596b-2cd2-3af1-2c61-68b64420b8d1,71.33402420043967,-733.2851428031918,ZD,14,#000000
115,fd272a7d-687f-d773-3dc9-5e063b6d08b1,71.33402420043967,-753.2851428031918,ZC,14,#000000
116,ce2966a8-c7ab-2917-564d-4a40e0856238,71.06845619201658,-895.2851428031918,U,14,#000000
117,c0e56724-b46c-71b7-2db5-7bcbf8254fea,70.95050121307395,-773.2851428031918,ZB,14,#000000
118,5e4ae574-97cf-0b76-3666-096ed019e9e2,70.95050121307395,-793.2851428031918,ZA,14,#000000
119,0af7c1e3-3a12-8b19-f183-a684e4ee6663,70.28430868148826,-813.2851428031918,Z,14,#000000
120,7c673e3e-07dd-53b7-aeac-5bf56648f72d,70.67493368148826,-935.2851428031918,S,14,#000000
121,932f5655-a8bf-caf1-f93a-8e5d65ab0ab2,70.67493368148826,-853.2851428031918,X,14,#000000
122,cc9be767-4c63-c6f7-f931-fceea42b07a1,70.61385370254538,-873.2851428031918,W,14,#000000
123,8f2302ad-3e57-188a-eb3a-8466db91cb73,71.28430868148826,-915.2851428031918,T,14,#000000
124,19b2275a-1aad-78d5-0b50-e009b284eb21,71.06845619201658,-955.2851428031918,R,14,#000000
125,a4658372-4583-c4af-dd70-213200ed6377,71.44908119201682,-975.2851428031918,Q,14,#000000
126,5173a045-973a-24a1-7b72-909009835ccc,319.54987621307373,-692.2851428031918,ZF,14,#000000
127,8b860b85-7e14-2387-3147-b877d7a99a63,673.5498762130737,-694.2851428031918,ZF,14,#000000
128,77353e4d-b9ae-d816-8bbb-309856cac0a8,318.95050121307395,-712.2851428031918,ZE,14,#000000
129,f32685b0-53f8-1dd7-5f5e-519b4bd7b3e7,672.950501213074,-714.2851428031918,ZE,14,#000000
